text,date,rating
"Выражаю ОГРОМНУЮ благодарность работнику контакт-центра (колл-центра), оказавшей ""19"" сентября 2025 года (в период с 07.00 часов по 07.24 часов (время московское)), помощь в размещении денежных средств на вклад ""Социальный вклад"", открытый через...",24.09.2025 13:46,5
"Добрый день, получил сегодня 24.09.2025 в 13:00 карту вашего банка, по заранее оговоренного времени. Ксения приехала в то время, на которое и назначалась встреча, помогла с активацией, рассказала про накопительный счет, акцию на продукты и помогла...",24.09.2025 12:29,5
"Я в восторге от того как быстро доставили карту на дом. Сделала заявку на доставку курьером, удобно и время сэкономлено. Спасибо Алексею за доходчивое объяснение -какие преимущества у карты, за активацию карты, как пользоваться приложением от...",24.09.2025 10:44,5
"Сегодня, 25.08.2025 года, я получила дебетовую карту Газпромбанка в городе Хабаровске. Хочу поблагодарить менеджера Сергея за профессиональное обслуживание. Встреча длилась всего 15 минут, но за это время Сергей успел подробно рассказать обо всех...",24.09.2025 05:16,5
"Хочу выразить большую благодарность, за доставку карты в город Ульяновск, 23 сентября. Утром со мной связалась Ксения, предложила время, Я на него согласилась, договорились на 15:00. Ксения приехала в назначенное время, объяснила все, что я...",23.09.2025 14:36,5
"Хочу поблагодарить представителя Ксению, поняла мою ситуацию и без тени недовольства согласилась поменять адрес для получения карты сегодня. Встреча заняла буквально 10-15 минут. Ксения рассказала все про карту, как снимать, в каких банкоматаз...",22.09.2025 16:37,5
"Карту получила, доставка очень быстрая. Утром мне позвонили, я назначила время, но у представителя, зовут Ксения, освободилось место на час раньше и я согласилась. Встреча состоялась в 12:30, 22 сентября,по времени буквально минут 20. Ксения...",22.09.2025 11:53,5
"Здравствуйте. На работе сказали оформить карту для самозанятости. Карту привезла девушка курьер, рассказала про актуальные акции: кэшбэк 100% в супермаркетах, на под 16,5%. Приятный бонус.  Курьер Екатерина после подписания документов, показала...",22.09.2025 11:33,5
"На сайте газпромбанка заказала дебетовую карту, заполнила заявку, и в этот же день сотрудник связался со мной и подтвердила дату и время приезда сотрудника. В назначенный день домой подъехал молодой человек, все оперативно заполнил и рассказал...",21.09.2025 21:29,5
"Увидел на просторах интернета акцию «супермаркеты на максимуме». Для уточнения информации по ней 18.09 обратился к оператору в соц сетях. Оператор сообщил кто может быть участником этой акции, что кешбэк выплачивается бонусными баллами, сколько...",21.09.2025 18:54,5
"Заполнила на сайте заяку на выпуск дебетовой карты, банк оперативно выпустил карту, представитель доставил карту и пакет документов на следующий день в удобное время, проконсультировал по продуктам банка, процентным ставкам по вкладам и акционным...",21.09.2025 13:25,5
"Я решил открыть накопительный счёт ""Ежедневный процент"" по акции с получением сертификата в Озон на 2000 рублей. Процент то же не плохой 17 процентов с подпиской Газпром бонус. Уже на следующий день представитель банка по предварительному звонку...",21.09.2025 07:46,5
